time="2023-10-15T22:28:35+03:00" level=info msg="Bomberman running on http://localhost:5000"
time="2023-10-15T22:28:39+03:00" level=info msg="Started listening for keypresses"
time="2023-10-15T22:28:40+03:00" level=info msg="1 0start1"
time="2023-10-15T22:28:43+03:00" level=info msg="1 0end1"
time="2023-10-15T22:28:45+03:00" level=info msg="1 1start1"
time="2023-10-15T22:28:48+03:00" level=info msg="1 1end1"
time="2023-10-15T22:28:50+03:00" level=info msg="1 2start1"
time="2023-10-15T22:28:53+03:00" level=info msg="1 2end1"
time="2023-10-15T22:29:00+03:00" level=info msg="1 2start1"
time="2023-10-15T22:29:00+03:00" level=info msg="1 2start1"
time="2023-10-15T22:29:03+03:00" level=info msg="1 2end1"
time="2023-10-15T22:29:03+03:00" level=info msg="1 2end1"
time="2023-10-15T22:29:08+03:00" level=info msg="2 2start1"
time="2023-10-15T22:29:08+03:00" level=info msg="2 2start1"
time="2023-10-15T22:29:11+03:00" level=info msg="2 2end1"
time="2023-10-15T22:29:11+03:00" level=info msg="2 2end1"
time="2023-10-15T22:29:33+03:00" level=info msg="1 4start1"
time="2023-10-15T22:29:33+03:00" level=info msg="1 4start1"
time="2023-10-15T22:29:36+03:00" level=info msg="1 4end1"
time="2023-10-15T22:29:36+03:00" level=info msg="1 4end1"
time="2023-10-15T22:29:44+03:00" level=info msg="2 4start1"
time="2023-10-15T22:29:45+03:00" level=info msg="2 4start1"
time="2023-10-15T22:29:47+03:00" level=info msg="2 4end1"
time="2023-10-15T22:29:48+03:00" level=info msg="2 4end1"
time="2023-10-15T22:29:59+03:00" level=info msg="2 5start1"
time="2023-10-15T22:30:02+03:00" level=info msg="2 5end1"
time="2023-10-15T22:30:13+03:00" level=info msg="4 5start1"
time="2023-10-15T22:30:13+03:00" level=info msg="4 5start1"
time="2023-10-15T22:30:13+03:00" level=info msg="4 5start1"
time="2023-10-15T22:30:16+03:00" level=info msg="4 5end1"
time="2023-10-15T22:30:16+03:00" level=info msg="4 5end1"
time="2023-10-15T22:30:16+03:00" level=info msg="4 5end1"
time="2023-10-15T22:30:24+03:00" level=info msg="4 7start1"
time="2023-10-15T22:30:24+03:00" level=info msg="4 7start1"
time="2023-10-15T22:30:27+03:00" level=info msg="4 7end1"
time="2023-10-15T22:30:27+03:00" level=info msg="4 7end1"
time="2023-10-15T22:30:55+03:00" level=info msg="4 7start1"
time="2023-10-15T22:30:58+03:00" level=info msg="4 7end1"
time="2023-10-15T22:31:05+03:00" level=info msg="6 7start1"
time="2023-10-15T22:31:06+03:00" level=info msg="6 7start1"
time="2023-10-15T22:31:06+03:00" level=info msg="6 7start1"
time="2023-10-15T22:31:08+03:00" level=info msg="6 7end1"
time="2023-10-15T22:31:09+03:00" level=info msg="6 7end1"
time="2023-10-15T22:31:09+03:00" level=info msg="6 7end1"
time="2023-10-15T22:31:15+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:15+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:15+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:15+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:15+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:15+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:15+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:15+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:16+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:16+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:16+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:18+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:18+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:18+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:18+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:18+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:18+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:18+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:18+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:19+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:19+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:19+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:24+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:25+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:25+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:25+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:25+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:25+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:25+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:26+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:26+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:26+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:26+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:27+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:28+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:28+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:28+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:28+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:28+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:28+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:29+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:29+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:29+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:29+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:46+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:46+03:00" level=info msg="7 7start1"
time="2023-10-15T22:31:49+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:49+03:00" level=info msg="7 7end1"
time="2023-10-15T22:31:49+03:00" level=info msg="10 7start1"
time="2023-10-15T22:31:49+03:00" level=info msg="10 7start1"
time="2023-10-15T22:31:52+03:00" level=info msg="10 7end1"
time="2023-10-15T22:31:52+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:55+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:55+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:55+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:55+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:55+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:56+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:56+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:56+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:56+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:56+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:56+03:00" level=info msg="10 7start1"
time="2023-10-15T22:32:58+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:58+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:58+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:58+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:58+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:59+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:59+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:59+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:59+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:59+03:00" level=info msg="10 7end1"
time="2023-10-15T22:32:59+03:00" level=info msg="10 7end1"
